"Petition","URL","State","Signatures Count"
"Create a rising tax rate to create a maximum income level","https://petition.parliament.uk/petitions/700392","open",82
"Reform the Public Health Act to prevent future lockdowns without MP's scrutiny","https://petition.parliament.uk/petitions/700393","open",345
"Enforce 11 p.m. fireworks curfew to protect community peace","https://petition.parliament.uk/petitions/700394","open",132
"Extend Scotland's position on the Regulation of Fireworks to the rest of the UK","https://petition.parliament.uk/petitions/700396","rejected",6
"Reverse proposed rule changes to Inheritance Tax, APR and BPR.","https://petition.parliament.uk/petitions/700397","rejected",7
"Axe the family farm tax (inheritance tax)","https://petition.parliament.uk/petitions/700399","rejected",21
"Seek to rejoin the European Union Single Market and start discussions now","https://petition.parliament.uk/petitions/700402","open",1235
"Ban explicit violence and sexualisation in Computer & Video Games","https://petition.parliament.uk/petitions/700403","open",63
"Require all businesses and public services to accept cash payments ","https://petition.parliament.uk/petitions/700404","open",16955
"reverse the budget decision requiring farmers to pay inheritance tax.","https://petition.parliament.uk/petitions/700408","rejected",7
"Change rules so parents with 50/50 shared care don’t pay child maintenance","https://petition.parliament.uk/petitions/700409","open",665
"Stop individuals in non-fault accidents being charged more for car insurance","https://petition.parliament.uk/petitions/700412","open",838
"Make GCSE exams free for home educated children under 18","https://petition.parliament.uk/petitions/700413","open",13191
"Ban at home fireworks for wildlife,pet and veteran safety","https://petition.parliament.uk/petitions/700422","rejected",7
"Remove priority need requirements from homelessness legislation.","https://petition.parliament.uk/petitions/700423","open",207
"Require police to delete data collected due to false allegations.","https://petition.parliament.uk/petitions/700425","open",255
"New legislation; ensure informed consent is always given to avoid patient harm.","https://petition.parliament.uk/petitions/700427","open",2824
"Change the law so those on life sentence for murder are not eligible for release","https://petition.parliament.uk/petitions/700435","open",8374
"Nationalise the UK water industry","https://petition.parliament.uk/petitions/700436","open",6117
"To create buffer zones around schools, stopping intimidation of staff & children","https://petition.parliament.uk/petitions/700442","open",29
"Introduce presumed liability for civil cases from road traffic collisions","https://petition.parliament.uk/petitions/700451","open",4877
"Only allow silent fireworks to be sold in the uk to support autistic children","https://petition.parliament.uk/petitions/700455","rejected",18
"Ban the use and selling of fireworks to the general public.","https://petition.parliament.uk/petitions/700457","rejected",9
"Limit fireworks to specific time window and designated locations","https://petition.parliament.uk/petitions/700459","rejected",13
"Ban fireworks from been set off daily","https://petition.parliament.uk/petitions/700467","rejected",6
"Ban the sale of noisy fireworks to the general public.","https://petition.parliament.uk/petitions/700469","rejected",6
"Ban the sale of loud fireworks to protect people with autism, pets and animals","https://petition.parliament.uk/petitions/700470","rejected",15
"Fireworks to only be set off on bonfire night, diwali and new year.","https://petition.parliament.uk/petitions/700471","rejected",6
"Make it illegal to sell fireworks, with the exception of public displays","https://petition.parliament.uk/petitions/700478","rejected",9
"Legally Require All Job Listings to Show Salaries Upfront","https://petition.parliament.uk/petitions/700482","open",5740
"A victim should not have to suffer financially if a car is stolen or uninsured","https://petition.parliament.uk/petitions/700486","rejected",7
"Place a maximum volume on fireworks that can be sold to general public","https://petition.parliament.uk/petitions/700488","rejected",9
"All fireworks sold in shops to general public to be made silent ones by law","https://petition.parliament.uk/petitions/700490","rejected",21
"Allow to change visa from tier 4 to tier 2.","https://petition.parliament.uk/petitions/700492","rejected",6
"Petition Committee reform the website to the standard of GOV Civil online claims","https://petition.parliament.uk/petitions/700493","rejected",21
"Implement a ban on sale of all non-silent fireworks in the UK","https://petition.parliament.uk/petitions/700494","rejected",21
"Stop the misuse of firework","https://petition.parliament.uk/petitions/700495","rejected",10
